,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer
0,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75,Maruti
1,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,Hyundai
2,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,Honda
3,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,Maruti
4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,Audi
5,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35,Hyundai
6,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,Nissan
7,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,Toyota
8,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,Volkswagen
9,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,Tata
10,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,Maruti
11,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,Honda
12,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,Maruti
13,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,Land
14,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,Land
15,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,Mitsubishi
16,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,Honda
17,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,Maruti
18,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,Renault
19,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,Mercedes-Benz
20,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,BMW
21,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,Maruti
22,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,Audi
23,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,Hyundai
24,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,Volkswagen
25,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,Honda
26,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,Nissan
27,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,Maruti
28,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,Honda
29,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,Toyota
30,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,Renault
31,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,Toyota
32,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,Mahindra
33,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,Audi
34,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,Volkswagen
